user,numCardsCorrect,numCardsIncorrect,firstCardsFlipped,firstPairsCorrect,isFirstStreak,firstStreak,pairsSolvedByEnd,cardsSeenButNeverSolved,numImagesCorrect,numImagesIncorrect,imagesSeen,correctImagesFirstSeen,incorrectImagesFirstSeen,correctImagesByEnd,n-points,age,gender,ethnicity,politicalParty,educationLevel,maritalStatus,children,country,state,gamingFrequency,futureOutlook,firstCardsFlipped_year,firstStreak_year,pairsSolvedByEnd_year,correctImagesFirstSeen_year,correctImagesByEnd_year
jz_1743965766,5,12,"['80computer', '80computer']",1980,False,['80computer'],"['80computer', '90computer', '10phone', '00car', '70car']","['10car', '90car', '90vg', '10computer', '00computer', '90vg', '90vg', '10computer', '80car', '10car', '10computer', '80car', '80car', '00phone', '70vg']",20,0,"['00_computer', '70_phone', '00_vg', '00_computer', '00_vg', '80_vg', '10_phone', '90_computer', '80_computer', '80_car', '10_phone', '90_vg', '70_phone', '10_vg', '10_phone', '80_car', '00_vg', '70_car', '00_phone', '00_computer']","['00_computer', '70_phone', '00_vg', '80_vg', '10_phone', '90_computer', '80_computer', '80_car', '90_vg', '10_vg', '70_car', '00_phone']",[],"['00_computer', '70_phone', '00_vg', '80_vg', '10_phone', '90_computer', '80_computer', '80_car', '90_vg', '10_vg', '70_car', '00_phone']",17,29,female,asian,democrat,advanced-degree,no,0,us,fl,every-week,very-good,1980,1980,1990,1990,1990
Ferdinand Magellan_1743967233,4,5,"['70phone', '70car']",1970,False,[],"['70phone', '80computer', '90car', '00phone']","['70car', '70computer', '80car', '70car', '90phone', '80vg', '70car', '00vg']",22,2,"['80_phone', '00_computer', '10_phone', '70_vg', '90_vg', '90_car', '10_car', '80_vg', '10_car', '10_phone', '00_car', '80_car', '90_car', '10_car', '10_car', '10_vg', '80_phone', '70_vg', '00_phone', '00_car', '90_phone', '80_car', '90_vg', '10_computer']","['00_computer', '10_phone', '70_vg', '90_vg', '90_car', '10_car', '80_vg', '00_car', '80_car', '10_vg', '00_phone', '10_computer']","['80_phone', '90_phone']","['00_computer', '10_phone', '70_vg', '90_vg', '90_car', '10_car', '80_vg', '00_car', '80_car', '10_vg', '80_phone', '00_phone', '10_computer']",9,28,male,white,other,bs,no,0,USA,NY,every-month,neutral,1970,0,1985,1995.83333333333,1994.61538461538
As_1743968380,0,5,"['70vg', '80computer']",,False,[],[],"['70vg', '80computer', '80vg', '70phone', '70phone', '80car', '90vg', '90phone', '90computer', '00vg']",0,0,[],[],[],[],0,,,,,,,,,,,,1975,0,0,0,0
Jon_1743971632,0,9,"['90vg', '70vg']",,False,[],[],"['90vg', '70vg', '90computer', '80car', '70computer', '80computer', '90phone', '80computer', '70computer', '70phone', '70phone', '90car', '00vg', '90car', '00car', '90computer', '80phone', '70vg']",15,1,"['70_computer', '70_vg', '10_vg', '80_phone', '70_vg', '10_car', '90_computer', '90_computer', '80_phone', '70_vg', '80_phone', '80_car', '90_car', '80_computer', '70_vg', '80_vg']","['70_computer', '70_vg', '10_vg', '80_phone', '10_car', '90_computer', '80_car', '80_computer', '80_vg']",['90_car'],"['70_computer', '70_vg', '10_vg', '80_phone', '10_car', '90_computer', '80_car', '80_computer', '80_vg']",19,29,male,white,democrat,bs,no,0,United States ,PA,every-week,neutral,1980,0,0,1985.55555555556,1985.55555555556
Colin_1743985257,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
lx_1744031660,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
k_1744039030,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
f_1744042381,0,0,[],,True,[],[],[],0,0,[],[],[],[],0,,,,,,,,,,,,0,0,0,0,0
Deb_1744054594,4,10,"['10phone', '00computer']",2000,False,[],"['00vg', '10car', '90computer', '90phone']","['10phone', '00computer', '90vg', '80phone', '70vg', '00phone', '00phone', '80phone', '70phone', '00computer', '70phone', '90vg', '80phone', '90vg']",0,0,[],[],[],[],0,,,,,,,,,,,,2005,0,1997.5,0,0
charanu_1744055614,1,2,"['00phone', '70car']",1990,False,[],['90computer'],"['00phone', '70car', '10vg', '00vg']",17,2,"['90_computer', '90_vg', '70_phone', '00_phone', '70_vg', '90_car', '80_vg', '00_vg', '00_computer', '90_computer', '70_computer', '90_computer', '00_car', '80_vg', '70_car', '70_car', '10_car', '00_vg', '00_phone']","['90_computer', '90_vg', '70_phone', '00_phone', '70_vg', '90_car', '80_vg', '00_vg', '00_computer', '70_computer', '70_car', '10_car']",['00_car'],"['90_computer', '90_vg', '70_phone', '00_phone', '70_vg', '90_car', '80_vg', '00_vg', '00_computer', '70_computer', '70_car', '10_car']",13,27,female,asian,other,bs,yes,0,United States,CA,never,very-good,1985,0,1990,1986.66666666667,1986.66666666667
